"sigma_yy","strain:0","strain:1","strain:2"
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
-0.00020022,0.042358,0.0020143,7.0527e-16
-0.00019734,0.042274,0.0019765,7.4579e-16
-0.00019446,0.04219,0.0019387,7.863e-16
-0.00019158,0.042106,0.0019009,8.2682e-16
-0.00018946,0.042038,0.001875,8.2775e-16
-0.00018774,0.041977,0.0018551,8.0889e-16
-0.00018601,0.041917,0.0018351,7.9003e-16
-0.00018428,0.041856,0.0018152,7.7116e-16
-0.00018255,0.041796,0.0017953,7.523e-16
-0.00018082,0.041735,0.0017754,7.3344e-16
-0.0001791,0.041675,0.0017554,7.1458e-16
-0.00017737,0.041614,0.0017355,6.9572e-16
-0.00017564,0.041554,0.0017156,6.7686e-16
-0.00017391,0.041493,0.0016956,6.58e-16
-0.00017218,0.041433,0.0016757,6.3914e-16
-0.00017046,0.041372,0.0016558,6.2028e-16
-0.00016873,0.041312,0.0016358,6.0142e-16
-0.000167,0.041251,0.0016159,5.8256e-16
-0.00016527,0.041191,0.001596,5.637e-16
-0.00016354,0.04113,0.0015761,5.4484e-16
-0.00016182,0.04107,0.0015561,5.2598e-16
-0.00016009,0.041009,0.0015362,5.0711e-16
-0.00015836,0.040949,0.0015163,4.8825e-16
-0.00015663,0.040888,0.0014963,4.6939e-16
-0.0001549,0.040828,0.0014764,4.5053e-16
-0.00015318,0.040767,0.0014565,4.3167e-16
-0.00015145,0.040707,0.0014365,4.1281e-16
-0.00014972,0.040646,0.0014166,3.9395e-16
-0.00014799,0.040586,0.0013967,3.7509e-16
-0.00014626,0.040525,0.0013767,3.5623e-16
-0.00014454,0.040465,0.0013568,3.3737e-16
-0.00014281,0.040404,0.0013369,3.1851e-16
-0.00014108,0.040344,0.001317,2.9965e-16
-0.00013935,0.040283,0.001297,2.8079e-16
-0.00013762,0.040223,0.0012771,2.6193e-16
-0.00013589,0.040162,0.0012572,2.4306e-16
-0.00013417,0.040102,0.0012372,2.242e-16
-0.00013269,0.040046,0.0012203,2.0218e-16
-0.0001317,0.039999,0.0012094,1.7381e-16
-0.00013071,0.039953,0.0011984,1.4545e-16
-0.00012972,0.039906,0.0011875,1.1709e-16
-0.00012873,0.03986,0.0011765,8.8733e-17
-0.00012775,0.039813,0.0011656,6.0372e-17
-0.00012676,0.039766,0.0011547,3.201e-17
-0.00012577,0.03972,0.0011437,3.6502e-18
-0.00012478,0.039673,0.0011328,-2.4711e-17
-0.00012379,0.039627,0.0011218,-5.3073e-17
-0.00012281,0.03958,0.0011109,-8.1433e-17
-0.00012182,0.039533,0.0011,-1.0979e-16
-0.00012083,0.039487,0.001089,-1.3816e-16
-0.00011984,0.03944,0.0010781,-1.6652e-16
-0.00011885,0.039393,0.0010672,-1.9488e-16
-0.00011787,0.039347,0.0010562,-2.2324e-16
-0.00011688,0.0393,0.0010453,-2.516e-16
-0.00011589,0.039254,0.0010343,-2.7996e-16
-0.0001149,0.039207,0.0010234,-3.0832e-16
-0.00011391,0.03916,0.0010125,-3.3668e-16
-0.00011293,0.039114,0.0010015,-3.6504e-16
-0.00011194,0.039067,0.00099058,-3.934e-16
-0.00011095,0.03902,0.00097964,-4.2177e-16
-0.00010996,0.038974,0.0009687,-4.5013e-16
-0.00010897,0.038927,0.00095776,-4.7849e-16
-0.00010799,0.038881,0.00094682,-5.0685e-16
-0.000107,0.038834,0.00093588,-5.3521e-16
-0.00010601,0.038787,0.00092494,-5.6357e-16
-0.00010502,0.038741,0.000914,-5.9193e-16
-0.00010403,0.038694,0.00090306,-6.2029e-16
-0.00010305,0.038647,0.00089212,-6.4865e-16
-0.00010206,0.038601,0.00088118,-6.7701e-16
-0.00010107,0.038554,0.00087024,-7.0537e-16
-0.00010008,0.038508,0.0008593,-7.3374e-16
-9.9466e-05,0.03847,0.00085373,-7.0898e-16
-9.8848e-05,0.038432,0.00084815,-6.8423e-16
-9.8231e-05,0.038394,0.00084258,-6.5948e-16
-9.7614e-05,0.038356,0.000837,-6.3473e-16
-9.6996e-05,0.038318,0.00083142,-6.0998e-16
-9.6379e-05,0.038281,0.00082585,-5.8523e-16
-9.5762e-05,0.038243,0.00082027,-5.6048e-16
-9.5145e-05,0.038205,0.0008147,-5.3573e-16
-9.4527e-05,0.038167,0.00080912,-5.1097e-16
-9.391e-05,0.038129,0.00080354,-4.8622e-16
-9.3293e-05,0.038091,0.00079797,-4.6147e-16
-9.2675e-05,0.038053,0.00079239,-4.3672e-16
-9.2058e-05,0.038016,0.00078682,-4.1197e-16
-9.1441e-05,0.037978,0.00078124,-3.8722e-16
-9.0824e-05,0.03794,0.00077566,-3.6247e-16
-9.0206e-05,0.037902,0.00077009,-3.3772e-16
-8.9589e-05,0.037864,0.00076451,-3.1296e-16
-8.8972e-05,0.037826,0.00075893,-2.8821e-16
-8.8354e-05,0.037789,0.00075336,-2.6346e-16
-8.7737e-05,0.037751,0.00074778,-2.3871e-16
-8.712e-05,0.037713,0.00074221,-2.1396e-16
-8.6503e-05,0.037675,0.00073663,-1.8921e-16
-8.5885e-05,0.037637,0.00073105,-1.6446e-16
-8.5268e-05,0.037599,0.00072548,-1.3971e-16
-8.4651e-05,0.037562,0.0007199,-1.1495e-16
-8.4033e-05,0.037524,0.00071433,-9.0203e-17
-8.3416e-05,0.037486,0.00070875,-6.5452e-17
-8.2799e-05,0.037448,0.00070317,-4.0701e-17
-8.2182e-05,0.03741,0.0006976,-1.5949e-17
-8.1564e-05,0.037372,0.00069202,8.8016e-18
-8.0947e-05,0.037335,0.00068645,3.3553e-17
-8.033e-05,0.037297,0.00068087,5.8304e-17
-7.9712e-05,0.037259,0.00067529,8.3056e-17
-7.9228e-05,0.037225,0.00067204,8.4568e-17
-7.881e-05,0.037193,0.00066993,7.4462e-17
-7.8392e-05,0.037161,0.00066783,6.4355e-17
-7.7974e-05,0.037129,0.00066573,5.4249e-17
-7.7556e-05,0.037097,0.00066363,4.4143e-17
-7.7137e-05,0.037066,0.00066153,3.4036e-17
-7.6719e-05,0.037034,0.00065943,2.3929e-17
-7.6301e-05,0.037002,0.00065733,1.3823e-17
-7.5883e-05,0.03697,0.00065523,3.7161e-18
-7.5465e-05,0.036938,0.00065313,-6.3907e-18
-7.5047e-05,0.036906,0.00065103,-1.6497e-17
-7.4629e-05,0.036874,0.00064893,-2.6604e-17
-7.4211e-05,0.036842,0.00064683,-3.671e-17
-7.3793e-05,0.03681,0.00064473,-4.6816e-17
-7.3375e-05,0.036778,0.00064263,-5.6923e-17
-7.2956e-05,0.036747,0.00064053,-6.7029e-17
-7.2538e-05,0.036715,0.00063842,-7.7136e-17
-7.212e-05,0.036683,0.00063632,-8.7243e-17
-7.1702e-05,0.036651,0.00063422,-9.7349e-17
-7.1284e-05,0.036619,0.00063212,-1.0746e-16
-7.0866e-05,0.036587,0.00063002,-1.1756e-16
-7.0448e-05,0.036555,0.00062792,-1.2767e-16
-7.003e-05,0.036523,0.00062582,-1.3778e-16
-6.9612e-05,0.036491,0.00062372,-1.4788e-16
-6.9194e-05,0.03646,0.00062162,-1.5799e-16
-6.8776e-05,0.036428,0.00061952,-1.681e-16
-6.8357e-05,0.036396,0.00061742,-1.782e-16
-6.7939e-05,0.036364,0.00061532,-1.8831e-16
-6.7521e-05,0.036332,0.00061322,-1.9841e-16
-6.7103e-05,0.0363,0.00061112,-2.0852e-16
-6.6685e-05,0.036268,0.00060902,-2.1863e-16
-6.6267e-05,0.036236,0.00060691,-2.2873e-16
-6.5849e-05,0.036204,0.00060481,-2.3884e-16
-6.547e-05,0.036174,0.0006035,-2.3612e-16
-6.5168e-05,0.036146,0.00060374,-2.0773e-16
-6.4867e-05,0.036119,0.00060399,-1.7935e-16
-6.4566e-05,0.036091,0.00060424,-1.5096e-16
-6.4265e-05,0.036064,0.00060448,-1.2258e-16
-6.3964e-05,0.036036,0.00060473,-9.4197e-17
-6.3662e-05,0.036008,0.00060498,-6.5812e-17
-6.3361e-05,0.035981,0.00060522,-3.7429e-17
-6.306e-05,0.035953,0.00060547,-9.0442e-18
-6.2759e-05,0.035926,0.00060572,1.9341e-17
-6.2457e-05,0.035898,0.00060596,4.7724e-17
-6.2156e-05,0.03587,0.00060621,7.6108e-17
-6.1855e-05,0.035843,0.00060645,1.0449e-16
-6.1554e-05,0.035815,0.0006067,1.3288e-16
-6.1253e-05,0.035788,0.00060695,1.6126e-16
-6.0951e-05,0.03576,0.00060719,1.8964e-16
-6.065e-05,0.035732,0.00060744,2.1803e-16
-6.0349e-05,0.035705,0.00060769,2.4641e-16
-6.0048e-05,0.035677,0.00060793,2.748e-16
-5.9746e-05,0.03565,0.00060818,3.0318e-16
-5.9445e-05,0.035622,0.00060843,3.3157e-16
-5.9144e-05,0.035594,0.00060867,3.5995e-16
-5.8843e-05,0.035567,0.00060892,3.8833e-16
-5.8542e-05,0.035539,0.00060917,4.1672e-16
-5.824e-05,0.035512,0.00060941,4.451e-16
-5.7939e-05,0.035484,0.00060966,4.7349e-16
-5.7638e-05,0.035456,0.00060991,5.0187e-16
-5.7337e-05,0.035429,0.00061015,5.3025e-16
-5.7035e-05,0.035401,0.0006104,5.5864e-16
-5.6734e-05,0.035373,0.00061065,5.8702e-16
-5.6433e-05,0.035346,0.00061089,6.1541e-16
-5.6132e-05,0.035318,0.00061114,6.4379e-16
-5.583e-05,0.035291,0.00061139,6.7217e-16
-5.5529e-05,0.035263,0.00061163,7.0056e-16
-5.5302e-05,0.035239,0.0006135,6.8391e-16
-5.5074e-05,0.035214,0.00061537,6.6726e-16
-5.4846e-05,0.03519,0.00061724,6.5061e-16
-5.4618e-05,0.035166,0.00061911,6.3396e-16
-5.4391e-05,0.035141,0.00062098,6.1731e-16
-5.4163e-05,0.035117,0.00062285,6.0066e-16
-5.3935e-05,0.035093,0.00062471,5.8401e-16
-5.3707e-05,0.035068,0.00062658,5.6736e-16
-5.348e-05,0.035044,0.00062845,5.5071e-16
-5.3252e-05,0.03502,0.00063032,5.3406e-16
-5.3024e-05,0.034995,0.00063219,5.1741e-16
-5.2796e-05,0.034971,0.00063406,5.0076e-16
-5.2569e-05,0.034947,0.00063593,4.8411e-16
-5.2341e-05,0.034922,0.0006378,4.6746e-16
-5.2113e-05,0.034898,0.00063967,4.5081e-16
-5.1886e-05,0.034874,0.00064153,4.3416e-16
-5.1658e-05,0.034849,0.0006434,4.1751e-16
-5.143e-05,0.034825,0.00064527,4.0086e-16
-5.1202e-05,0.034801,0.00064714,3.8421e-16
-5.0975e-05,0.034776,0.00064901,3.6756e-16
-5.0747e-05,0.034752,0.00065088,3.5091e-16
-5.0519e-05,0.034728,0.00065275,3.3426e-16
-5.0291e-05,0.034703,0.00065462,3.1761e-16
-5.0064e-05,0.034679,0.00065648,3.0096e-16
-4.9836e-05,0.034655,0.00065835,2.8431e-16
-4.9608e-05,0.03463,0.00066022,2.6766e-16
-4.938e-05,0.034606,0.00066209,2.5101e-16
-4.9153e-05,0.034582,0.00066396,2.3436e-16
-4.8925e-05,0.034557,0.00066583,2.1771e-16
-4.8697e-05,0.034533,0.0006677,2.0106e-16
-4.847e-05,0.034509,0.00066957,1.8441e-16
-4.8242e-05,0.034484,0.00067144,1.6776e-16
-4.8014e-05,0.03446,0.0006733,1.5111e-16
-4.7819e-05,0.034437,0.00067593,1.3133e-16
-4.764e-05,0.034415,0.00067893,1.0998e-16
-4.7461e-05,0.034394,0.00068194,8.8626e-17
-4.7282e-05,0.034372,0.00068494,6.7276e-17
-4.7103e-05,0.03435,0.00068794,4.5927e-17
-4.6924e-05,0.034328,0.00069095,2.4577e-17
-4.6745e-05,0.034307,0.00069395,3.2266e-18
-4.6566e-05,0.034285,0.00069695,-1.8122e-17
-4.6386e-05,0.034263,0.00069996,-3.9473e-17
-4.6207e-05,0.034241,0.00070296,-6.0823e-17
-4.6028e-05,0.03422,0.00070597,-8.2172e-17
-4.5849e-05,0.034198,0.00070897,-1.0352e-16
-4.567e-05,0.034176,0.00071197,-1.2487e-16
-4.5491e-05,0.034154,0.00071498,-1.4622e-16
-4.5312e-05,0.034133,0.00071798,-1.6757e-16
-4.5133e-05,0.034111,0.00072098,-1.8892e-16
-4.4954e-05,0.034089,0.00072399,-2.1027e-16
-4.4775e-05,0.034067,0.00072699,-2.3162e-16
-4.4596e-05,0.034046,0.00072999,-2.5297e-16
-4.4417e-05,0.034024,0.000733,-2.7432e-16
-4.4238e-05,0.034002,0.000736,-2.9567e-16
-4.4059e-05,0.03398,0.00073901,-3.1702e-16
-4.388e-05,0.033959,0.00074201,-3.3837e-16
-4.3701e-05,0.033937,0.00074501,-3.5972e-16
-4.3522e-05,0.033915,0.00074802,-3.8107e-16
-4.3343e-05,0.033893,0.00075102,-4.0242e-16
-4.3164e-05,0.033872,0.00075402,-4.2377e-16
-4.2985e-05,0.03385,0.00075703,-4.4512e-16
-4.2806e-05,0.033828,0.00076003,-4.6647e-16
-4.2627e-05,0.033806,0.00076303,-4.8782e-16
-4.2448e-05,0.033785,0.00076604,-5.0917e-16
-4.2269e-05,0.033763,0.00076904,-5.3052e-16
-4.209e-05,0.033741,0.00077205,-5.5187e-16
-4.1922e-05,0.03372,0.00077531,-5.6274e-16
-4.1776e-05,0.033701,0.00077911,-5.5267e-16
-4.1631e-05,0.033681,0.00078291,-5.426e-16
-4.1485e-05,0.033661,0.00078671,-5.3252e-16
-4.134e-05,0.033642,0.0007905,-5.2245e-16
-4.1194e-05,0.033622,0.0007943,-5.1237e-16
-4.1049e-05,0.033602,0.0007981,-5.023e-16
-4.0903e-05,0.033583,0.0008019,-4.9223e-16
-4.0758e-05,0.033563,0.0008057,-4.8215e-16
-4.0613e-05,0.033544,0.00080949,-4.7208e-16
-4.0467e-05,0.033524,0.00081329,-4.6201e-16
-4.0322e-05,0.033504,0.00081709,-4.5193e-16
-4.0176e-05,0.033485,0.00082089,-4.4186e-16
-4.0031e-05,0.033465,0.00082468,-4.3179e-16
-3.9885e-05,0.033445,0.00082848,-4.2171e-16
-3.974e-05,0.033426,0.00083228,-4.1164e-16
-3.9594e-05,0.033406,0.00083608,-4.0156e-16
-3.9449e-05,0.033387,0.00083988,-3.9149e-16
-3.9303e-05,0.033367,0.00084367,-3.8142e-16
-3.9158e-05,0.033347,0.00084747,-3.7134e-16
-3.9012e-05,0.033328,0.00085127,-3.6127e-16
-3.8867e-05,0.033308,0.00085507,-3.512e-16
-3.8721e-05,0.033288,0.00085887,-3.4112e-16
-3.8576e-05,0.033269,0.00086266,-3.3105e-16
-3.8431e-05,0.033249,0.00086646,-3.2098e-16
-3.8285e-05,0.03323,0.00087026,-3.109e-16
-3.814e-05,0.03321,0.00087406,-3.0083e-16
-3.7994e-05,0.03319,0.00087785,-2.9075e-16
-3.7849e-05,0.033171,0.00088165,-2.8068e-16
-3.7703e-05,0.033151,0.00088545,-2.7061e-16
-3.7558e-05,0.033131,0.00088925,-2.6053e-16
-3.7412e-05,0.033112,0.00089305,-2.5046e-16
-3.7267e-05,0.033092,0.00089684,-2.4039e-16
-3.7121e-05,0.033073,0.00090064,-2.3031e-16
-3.7e-05,0.033055,0.00090499,-1.9565e-16
-3.6878e-05,0.033037,0.00090933,-1.6099e-16
-3.6757e-05,0.033019,0.00091368,-1.2633e-16
-3.6635e-05,0.033001,0.00091802,-9.1676e-17
-3.6513e-05,0.032983,0.00092237,-5.7013e-17
-3.6392e-05,0.032966,0.00092671,-2.2355e-17
-3.627e-05,0.032948,0.00093106,1.2303e-17
-3.6149e-05,0.03293,0.0009354,4.6966e-17
-3.6027e-05,0.032912,0.00093975,8.1624e-17
-3.5905e-05,0.032894,0.00094409,1.1628e-16
-3.5784e-05,0.032876,0.00094844,1.5094e-16
-3.5662e-05,0.032859,0.00095278,1.856e-16
-3.5541e-05,0.032841,0.00095713,2.2026e-16
