"sigma_yy","strain:0","strain:1","strain:2","Points:0","Points:1","Points:2"
0.018861,0.023194,0.15046,1.5155e-06,41.045,50,0
0.018181,0.024152,0.14425,1.3496e-06,41.1,50,0
0.017501,0.02511,0.13805,1.1837e-06,41.155,50,0
0.016822,0.026068,0.13184,1.0178e-06,41.21,50,0
0.016142,0.027026,0.12564,8.5184e-07,41.265,50,0
0.015462,0.027984,0.11944,6.8592e-07,41.32,50,0
0.014783,0.028942,0.11323,5.2e-07,41.375,50,0
0.014103,0.029901,0.10703,3.5408e-07,41.43,50,0
0.013423,0.030859,0.10082,1.8816e-07,41.485,50,0
0.012744,0.031817,0.094619,2.2236e-08,41.54,50,0
0.012064,0.032775,0.088415,-1.4368e-07,41.595,50,0
0.011384,0.033733,0.08221,-3.096e-07,41.65,50,0
0.010705,0.034691,0.076006,-4.7553e-07,41.705,50,0
0.010025,0.035649,0.069803,-6.4143e-07,41.76,50,0
0.0093453,0.036607,0.063599,-8.0736e-07,41.815,50,0
0.0086656,0.037565,0.057394,-9.7328e-07,41.87,50,0
0.0079859,0.038523,0.05119,-1.1392e-06,41.925,50,0
0.0073062,0.039481,0.044986,-1.3051e-06,41.98,50,0
0.0069429,0.039969,0.042114,-1.347e-06,42.035,50,0
0.0067603,0.040188,0.041146,-1.318e-06,42.09,50,0
0.0065777,0.040407,0.040178,-1.2891e-06,42.145,50,0
0.0063952,0.040626,0.03921,-1.2601e-06,42.2,50,0
0.0062126,0.040845,0.038242,-1.2311e-06,42.255,50,0
0.00603,0.041064,0.037274,-1.2021e-06,42.31,50,0
0.0058474,0.041283,0.036306,-1.1732e-06,42.365,50,0
0.0056649,0.041502,0.035338,-1.1442e-06,42.42,50,0
0.0054823,0.041721,0.03437,-1.1152e-06,42.475,50,0
0.0052997,0.04194,0.033402,-1.0862e-06,42.53,50,0
0.0051171,0.042159,0.032434,-1.0573e-06,42.585,50,0
0.0049346,0.042378,0.031466,-1.0283e-06,42.64,50,0
0.004752,0.042597,0.030498,-9.9932e-07,42.695,50,0
0.0045694,0.042816,0.02953,-9.7035e-07,42.75,50,0
0.0043868,0.043035,0.028562,-9.4137e-07,42.805,50,0
0.0042043,0.043254,0.027594,-9.124e-07,42.86,50,0
0.0040217,0.043473,0.026626,-8.8342e-07,42.915,50,0
0.0038391,0.043692,0.025658,-8.5445e-07,42.97,50,0
0.0036565,0.043911,0.024689,-8.2547e-07,43.025,50,0
0.003474,0.04413,0.023721,-7.965e-07,43.08,50,0
0.0032914,0.044349,0.022753,-7.6753e-07,43.135,50,0
0.0031088,0.044568,0.021785,-7.3855e-07,43.19,50,0
0.0029262,0.044787,0.020817,-7.0958e-07,43.245,50,0
0.0027437,0.045006,0.019849,-6.806e-07,43.3,50,0
0.0025611,0.045225,0.018881,-6.5163e-07,43.355,50,0
0.0023785,0.045444,0.017913,-6.2265e-07,43.41,50,0
0.0021959,0.045663,0.016945,-5.9368e-07,43.465,50,0
0.0020134,0.045882,0.015977,-5.647e-07,43.52,50,0
0.0018308,0.046101,0.015009,-5.3573e-07,43.575,50,0
0.0016482,0.04632,0.014041,-5.0675e-07,43.63,50,0
0.0014656,0.046539,0.013073,-4.7778e-07,43.685,50,0
0.0012831,0.046758,0.012105,-4.488e-07,43.74,50,0
0.0011005,0.046977,0.011137,-4.1983e-07,43.795,50,0
0.00091792,0.047196,0.010169,-3.9086e-07,43.85,50,0
0.00073535,0.047415,0.0092009,-3.6188e-07,43.905,50,0
0.00055277,0.047634,0.0082329,-3.3291e-07,43.96,50,0
0.00041461,0.047772,0.0074942,-3.1006e-07,44.015,50,0
0.0003949,0.047694,0.007367,-3.0356e-07,44.07,50,0
0.0003752,0.047616,0.0072399,-2.9706e-07,44.125,50,0
0.00035549,0.047539,0.0071127,-2.9056e-07,44.18,50,0
0.00033578,0.047461,0.0069855,-2.8406e-07,44.235,50,0
0.00031607,0.047383,0.0068584,-2.7756e-07,44.29,50,0
0.00029636,0.047306,0.0067312,-2.7105e-07,44.345,50,0
0.00027665,0.047228,0.0066041,-2.6455e-07,44.4,50,0
0.00025694,0.04715,0.0064769,-2.5805e-07,44.455,50,0
0.00023724,0.047073,0.0063498,-2.5155e-07,44.51,50,0
0.00021753,0.046995,0.0062226,-2.4505e-07,44.565,50,0
0.00019782,0.046917,0.0060954,-2.3855e-07,44.62,50,0
0.00017811,0.04684,0.0059683,-2.3205e-07,44.675,50,0
0.0001584,0.046762,0.0058411,-2.2555e-07,44.73,50,0
0.0001387,0.046684,0.005714,-2.1905e-07,44.785,50,0
0.00011899,0.046607,0.0055868,-2.1255e-07,44.84,50,0
9.9278e-05,0.046529,0.0054596,-2.0604e-07,44.895,50,0
7.957e-05,0.046451,0.0053325,-1.9954e-07,44.95,50,0
5.9861e-05,0.046374,0.0052053,-1.9304e-07,45.005,50,0
