"sigma_yy","strain:0","strain:1","strain:2","Points:0","Points:1","Points:2"
0.00022902,0.044451,0.0034736,-7.2291e-08,46.105,50,0
0.00022709,0.044374,0.0034347,-7.2391e-08,46.16,50,0
0.00022516,0.044297,0.0033957,-7.2492e-08,46.215,50,0
0.00022323,0.04422,0.0033568,-7.2592e-08,46.27,50,0
0.0002213,0.044143,0.0033178,-7.2693e-08,46.325,50,0
0.00021937,0.044067,0.0032789,-7.2793e-08,46.38,50,0
0.00021744,0.04399,0.0032399,-7.2894e-08,46.435,50,0
0.00021551,0.043913,0.003201,-7.2994e-08,46.49,50,0
0.00021358,0.043836,0.0031621,-7.3095e-08,46.545,50,0
0.00021165,0.043759,0.0031231,-7.3195e-08,46.6,50,0
0.00020972,0.043683,0.0030842,-7.3296e-08,46.655,50,0
0.0002078,0.043606,0.0030452,-7.3396e-08,46.71,50,0
0.00020587,0.043529,0.0030063,-7.3497e-08,46.765,50,0
0.00020394,0.043452,0.0029673,-7.3597e-08,46.82,50,0
0.00020201,0.043375,0.0029284,-7.3698e-08,46.875,50,0
0.00020008,0.043298,0.0028894,-7.3798e-08,46.93,50,0
0.00019815,0.043222,0.0028505,-7.3899e-08,46.985,50,0
0.00019622,0.043145,0.0028116,-7.3999e-08,47.04,50,0
0.00019429,0.043068,0.0027726,-7.41e-08,47.095,50,0
0.00019236,0.042991,0.0027337,-7.42e-08,47.15,50,0
0.00019043,0.042914,0.0026947,-7.4301e-08,47.205,50,0
0.0001885,0.042838,0.0026558,-7.4401e-08,47.26,50,0
0.00018657,0.042761,0.0026168,-7.4501e-08,47.315,50,0
0.00018465,0.042684,0.0025779,-7.4602e-08,47.37,50,0
0.00018272,0.042607,0.0025389,-7.4702e-08,47.425,50,0
0.00018079,0.04253,0.0025,-7.4803e-08,47.48,50,0
0.00017886,0.042454,0.0024611,-7.4903e-08,47.535,50,0
0.00017693,0.042377,0.0024221,-7.5004e-08,47.59,50,0
0.000175,0.0423,0.0023832,-7.5104e-08,47.645,50,0
0.00017307,0.042223,0.0023442,-7.5205e-08,47.7,50,0
0.00017114,0.042146,0.0023053,-7.5305e-08,47.755,50,0
0.00016921,0.042069,0.0022663,-7.5406e-08,47.81,50,0
0.00016728,0.041993,0.0022274,-7.5506e-08,47.865,50,0
