,t,crack_length
0,379.0,40.5
1,380.54554554554556,40.520336125599286
2,382.0910910910911,40.540672251198565
3,383.63663663663664,40.56100837679785
4,385.1821821821822,40.58134450239714
5,386.7277277277277,40.601680627996416
6,388.2732732732733,40.6220167535957
7,389.81881881881884,40.64235287919499
8,391.36436436436435,40.66268900479427
9,392.9099099099099,40.68302513039355
10,394.4554554554555,40.70336125599284
11,396.001001001001,40.72369738159212
12,397.54654654654655,40.7440335071914
13,399.0920920920921,40.76436963279068
14,400.6376376376376,40.78470575838997
15,402.1831831831832,40.805041883989254
16,403.72872872872875,40.82537800958853
17,405.27427427427426,40.84571413518782
18,406.8198198198198,40.866050260787105
19,408.3653653653654,40.886386386386384
20,409.9109109109109,40.90672251198567
21,411.45645645645646,40.927058637584956
22,413.002002002002,40.947394763184235
23,414.54754754754754,40.96773088878352
24,416.0930930930931,40.98806701438281
25,417.63863863863867,41.00912340912341
26,419.1841841841842,41.03120263120263
27,420.72972972972974,41.05328185328185
28,422.27527527527525,41.07536107536107
29,423.8208208208208,41.0974402974403
30,425.3663663663664,41.11951951951952
31,426.91191191191194,41.14159874159874
32,428.45745745745745,41.16367796367796
33,430.003003003003,41.18575718575718
34,431.5485485485485,41.20783640783641
35,433.0940940940941,41.22991562991563
36,434.63963963963965,41.25199485199485
37,436.18518518518516,41.27407407407407
38,437.7307307307307,41.2961532961533
39,439.2762762762763,41.31823251823252
40,440.8218218218218,41.34031174031174
41,442.36736736736736,41.36239096239096
42,443.91291291291293,41.38447018447018
43,445.4584584584585,41.40654940654941
44,447.004004004004,41.42862862862863
45,448.54954954954957,41.45070785070785
46,450.0950950950951,41.47278707278707
47,451.64064064064064,41.49486629486629
48,453.1861861861862,41.51853415915916
49,454.7317317317317,41.542683308308305
50,456.2772772772773,41.56683245745746
51,457.82282282282284,41.590981606606604
52,459.36836836836835,41.61513075575576
53,460.9139139139139,41.6392799049049
54,462.4594594594595,41.663429054054056
55,464.005005005005,41.6875782032032
56,465.55055055055055,41.711727352352355
57,467.0960960960961,41.7358765015015
58,468.6416416416416,41.76002565065065
59,470.1871871871872,41.7841747997998
60,471.73273273273276,41.80832394894895
